JSF P/N,MFR P/N,NOMENCLATURE,SMR,EEL,TURN-IN,SERIALZED
65213,65213,3RD STAGE PLUNGER,PAOZZN,NO,NO,NO
65228,65228,REL VALVE LCK SCRW,PAOZZN,NO,NO,NO
65247,65247,RELEASE VALVE,PAOZZN,NO,NO,NO
71212,71212,FENDER WASHER,PAOZZN,NO,NO,NO
74008,74008,9/64 WRENCH HEX,PAOZZN,NO,NO,NO
74135,74135,GASKET,PAOZZN,NO,NO,NO
75906,75906,PISTON,PAOZZN,NO,NO,NO
77116,77116,SCREW 3/8-16 X 3.25,PAOZZN,NO,NO,NO
78013,78013,WASHER FLAT 1/4,PAOZZN,NO,NO,NO
78021,78021,WASHER FLAT 1/2,PAOZZN,NO,NO,NO
80044,80044,WRENCH COM RAT 3/4,PAOZZN,NO,NO,NO
82311,82311,"AMMETER, GAGE",PAOZZN,NO,NO,NO
94186,94186,CABLE,PAOZZN,NO,NO,NO
102225,102225,SENDER OIL PRESURE,PAOZZN,NO,NO,NO
108244,108244,V-BELT ENGINE,PAOZZN,NO,NO,NO
108497,108497,SENDER OIL PRESURE,PAOZZN,NO,NO,NO
121681,121681,MODULE ENG PERF,PAOZZN,NO,NO,NO
149598,149598,"CORE,VALVE PNEUMAT",PAOZZN,NO,NO,NO
178040,178040,SCREW 6-32 X 1/2,PAOZZN,NO,NO,NO
179915,179915,VELCRO BRAND,PAOZZN,NO,NO,NO
200188,200188,OIL BOTTLE,PAOZZN,NO,NO,NO
211089,211089,PRESSURE GAUGE,PAOZZN,NO,NO,NO
221824,221824,GUN SEALANT 2.5 OZ,PAOZZN,NO,NO,NO
235400,235400,"36"" HIGH PRS HOSE",PAOZZN,NO,NO,NO
252088,252088,ELEMENT FILTER,PAOZZN,NO,NO,NO
302008,302008,INDICATOR STRIP,PAOZZN,NO,NO,NO
302348,302348,HANDLE REPAIR KIT,PAOZZN,NO,NO,NO
354580,354580,WIRE,PAOZZN,NO,NO,NO
354581,354581,WIRE,PAOZZN,NO,NO,NO
360193,360193,WIRE,PAOZZN,NO,NO,NO
360584,360584,WIRE,PAOZZN,NO,NO,NO
360715,360715,WIRE,PAOZZN,NO,NO,NO
390819,390819,CABLE ASSY LINE CRD,PAOZZN,NO,NO,NO
450365,450365,SEAL,PAOZZN,NO,NO,NO
450523,450523,SEAL,PAOZZN,NO,NO,NO
452240,452240,CYLINDER SEAL KIT S,PAOZZN,NO,NO,NO
490014,490014,END CAP,PAOZZN,NO,NO,NO
490170,490170,RH OUTRIGGER JACK,PAOZZN,NO,NO,NO
490220,490220,LH OUTRIGGER JACK,PAOZZN,NO,NO,NO
509085,509085,PRO PAD MNT SHEET,PAOZZN,NO,NO,NO
509087,509087,BUMPER TOP GRDRL SD,PAOZZN,NO,NO,NO
509088,509088,SHEET PAD PROT MNT,PAOZZN,NO,NO,NO
509120,509120,REAR TWBR TUBE ASSY,PAOZZN,NO,NO,NO
509166,509166,RIVNUT 10-32 GRIP,PAOZZN,NO,NO,NO
509261,509261,BTM PLTFRM BMPER,PAOZZN,NO,NO,NO
509263,509263,BTM SPRT BUMPER,PAOZZN,NO,NO,NO
509272,509272,BUMPER PLFM SIDE,PAOZZN,NO,NO,NO
509273,509273,BUMPER SUPPORT,PAOZZN,NO,NO,NO
509274,509274,REAR SPRT BUMPER,PAOZZN,NO,NO,NO
509343,509343,RAIL BRACKET,PAOZZN,NO,NO,NO
509363,509363,BUMPER PLTFORM EDGE,PAOZZN,NO,NO,NO
509377,509377,PRO PAD MNT SHEET,PAOZZN,NO,NO,NO
509378,509378,BUMPER GRDRL SD,PAOZZN,NO,NO,NO
509379,509379,SHEET PROTECT PAD,PAOZZN,NO,NO,NO
509403,509403,RIM,PAOZZN,NO,NO,NO
509413,509413,HYD SHELF ASSY,PAOZZN,NO,NO,NO
509485,509485,FNT RT TOW BAR SLD,PAOZZN,NO,NO,NO
509541,509541,SUPPLY TUBE ASSY,PAOZZN,NO,NO,NO
509550,509550,TUBE PUMP SUCTION,PAOZZN,NO,NO,NO
509567,509567,HYD PMP HNDL ASSY,PAOZZN,NO,NO,NO
509625,509625,HYDRAULIC TANK,PAOZZN,NO,NO,NO
509627,509627,HYD HAND PUMP,PAOZZN,NO,NO,NO
509631,509631,HYD DIPSTICK,PAOZZN,NO,NO,NO
509632,509632,PIN DETENT BL W/LSH,PAOZZN,NO,NO,NO
509636,509636,PIN DETNT BL1/2X3,PAOZZN,NO,NO,NO
509637,509637,PIN DETNT BL1/2X2.5,PAOZZN,NO,NO,NO
509639,509639,QR TETHER ASSY,PAOZZN,NO,NO,NO
509641,509641,PIN DETNT BL 3/4X6,PAOZZN,NO,NO,NO
509642,509642,KNOB ALT,PAOZZN,NO,NO,NO
509901,509901,RPD DCNT VLV LABEL,PAOZZN,NO,NO,NO
509902,509902,DRCT CNTRL VLV LBL,PAOZZN,NO,NO,NO
509903,509903,CATN PNCH PNT LBL,PAOZZN,NO,NO,NO
509904,509904,CTN OVRHD OBS LABEL,PAOZZN,NO,NO,NO
509905,509905,LIFT POINT LABEL,PAOZZN,NO,NO,NO
509906,509906,TIEDOWN LOAD LBL,PAOZZN,NO,NO,NO
509908,509908,MAX TOW LBL,PAOZZN,NO,NO,NO
509916,509916,OUTRIGGER LABEL,PAOZZN,NO,NO,NO
509919,509919,INSTL LCK PINS LBL,PAOZZN,NO,NO,NO
509921,509921,DANGER LABEL,PAOZZN,NO,NO,NO
